ID,domain,title,abstract,Related (or similar) to the dataset,Venue,Doi,annotated
A11,Security,A Machine Learning-Based Digital Twin for Anti-Counterfeiting Applications With Copy Detection Patterns,"In this paper, we present a new approach to model a printing-imaging channel using a machine learning-based 'digital twin' for copy detection patterns (CDP). The CDP are considered as modern anti-counterfeiting features in multiple applications. Our digital twin is formulated within the information-theoretic framework of TURBO initially developed for high energy physics simulations, using variational approximations of mutual information for both encoder and decoder in the bidirectional exchange of information. This model extends various architectural designs, including paired pix2pix and unpaired CycleGAN, for image-to-image translation. Applicable to any type of printing and imaging devices, the model needs only training data comprising digital templates sent to a printing device and data acquired by an imaging device. The data can be paired, unpaired, or hybrid, ensuring architectural flexibility and scalability for multiple practical setups. We explore the influence of various architectural factors, metrics, and discriminators on the overall system's performance in generating and predicting printed CDP from their digital versions and vice versa. We also performed a comparison with several state-of-the-art methods for image-to-image translation applications. The simulation code and extended results are publicly available at https://gitlab.unige.ch/sip-group/digital-twin.",UniGe,Conference,10.1109/TIFS.2024.3361798,Yes
A12,Urban studies,A Novel Machine-Learning Tool to Identify Community Risk for Firearm Violence: The Firearm Violence Vulnerability Index,"Firearm violence in the United States is a public health crisis, but accessing accurate firearm assault data to inform prevention strategies is a challenge. Vulnerability indices have been used in other fields to better characterize and identify at-risk populations during crises, but no tool currently exists to predict where rates of firearm violence are highest. We sought to develop and validate a novel machine-learning algorithm, the Firearm Violence Vulnerability Index (FVVI), to forecast community risk for shooting incidents, fill data gaps, and enhance prevention efforts. Open-access 2015 to 2022 fatal and nonfatal shooting incident data from Baltimore, Boston, Chicago, Cincinnati, Los Angeles, New York City, Philadelphia, and Rochester were merged on census tract with 30 population characteristics derived from the 2020 American Community Survey. The data set was split into training (80%) and validation (20%) sets; Chicago data were withheld for an unseen test set. XGBoost, a decision tree-based machine-learning algorithm, was used to construct the FVVI model, which predicts shooting incident rates within urban census tracts. A total of 64,909 shooting incidents in 3,962 census tracts were used to build the model; 14,898 shooting incidents in 766 census tracts were in the test set. Historical third grade math scores and having a parent jailed during childhood were population characteristics exhibiting the greatest impact on FVVI's decision making. The model had strong predictive power in the test set, with a goodness of fit (D^2) of 0.77. The Firearm Violence Vulnerability Index accurately predicts firearm violence in urban communities at a granular geographic level based solely on population characteristics. The Firearm Violence Vulnerability Index can fill gaps in currently available firearm violence data while helping to geographically target and identify social or environmental areas of focus for prevention programs. Dissemination of this standardized risk tool could also enhance firearm violence research and resource allocation.",,Q1 journal,10.1097/TA.0000000000003992,Yes
A13,Biochemistry,AI-DrugNet: A Network-Based Deep Learning Model for Drug Repurposing and Combination Therapy in Neurological Disorders,"Discovering effective therapies is difficult for neurological and developmental disorders in that disease progression is often associated with a complex and interactive mechanism. Over the past few decades, few drugs have been identified for treating Alzheimer’s disease (AD), especially for impacting the causes of cell death in AD. Although drug repurposing is gaining more success in developing therapeutic efficacy for complex diseases such as common cancer, the complications behind AD require further study. Here, we developed a novel prediction framework based on deep learning to identify potential repurposed drug therapies for AD, and more importantly, our framework is broadly applicable and may generalize to identifying potential drug combinations in other diseases. Our prediction framework is as follows: we first built a drug-target pair (DTP) network based on multiple drug features and target features, as well as the associations between DTP nodes where drug-target pairs are the DTP nodes and the associations between DTP nodes are represented as the edges in the AD disease network; furthermore, we incorporated the drug-target feature from the DTP network and the relationship information between drug-drug, target-target, drug-target within and outside of drug-target pairs, representing each drug-combination as a quartet to generate corresponding integrated features; finally, we developed an AI-based Drug discovery Network (AI-DrugNet), which exhibits robust predictive performance. The implementation of our network model helps identify potential repurposed and combination drug options that may serve to treat AD and other diseases.",DrugNet,Q1 journal,10.1016/j.csbj.2023.02.004,Yes
A14,Transportation,Analysis and Prediction of New York City Taxi and Uber Demands,"Taxi and Uber are imperative transportation modes in New York City (NYC). This paper investigates the spatiotemporal distribution of pick-ups of medallion taxis (yellow), Street Hail Livery Service taxis (green), and Uber services in NYC, within the five boroughs: Brooklyn, the Bronx, Manhattan, Queens, and Staten Island. Regression models and machine learning algorithms such as XGboost and random forest are used to predict the ridership of taxis and Uber dataset combined in NYC, given a time window of one-hour and locations within zip-code areas. The dataset consists of over 90 million trips within the period April-September 2014, yellow with 86% the most used in the city, followed by green with 9%, and Uber with 5%. In the outer boroughs, the number of pick-ups is 12.9 million (14%), while 77.9 million (86%) were made in Manhattan only. Yellow is the predominant option in Manhattan and Queens, while green is preferred in Brooklyn and Bronx. In Staten Island, the market is shared between the three services. However, Uber presents a highly rising trend of 81% in Manhattan and 145% in outer boroughs during the analysis period. The regression model XGboost performed best because of its exceptional capacity to catch complex feature dependencies. The XGboost model accomplished an estimation of 38.51 for RMSE and 0.97 for R^2. This model could present valuable insights to taxi companies, decision-makers, and city planners in responding to questions, e.g., how to situate taxis where they are required, understand how ridership shifts over time, and the total number of taxis needed to dispatch to meet the demand.",NYC Taxi Trips,Conference,10.22201/icat.24486736e.2023.21.5.2074,Yes
A15,Economics,Analysis of Income on the Basis of Occupation using Data Mining,"Income forecasting is always the idea of knowing how many people us are around. Here we saw how to use machine learning technology to test people's income according to their different lifestyles. The huge gap between wealth and income, especially in the United States, is a serious problem. One of the possible reasons for reducing the growing economic inequality in the world is the possibility of reducing poverty. The rule of worldwide ethical balance ensures maintainable improvement and financial steadiness of the nation. The governments of different countries are doing their best to solve this problem and find the best solutions. The point of this think about is to demonstrate the utilize of machine learning and Data mining strategies to fathom pay uniformity issues. Machine learning is classified as predicting whether a person has an annual income.",US family income,Conference,10.1109/ICBATS54253.2022.9759040,Yes
A16,Pattren recognition,Automated Newborn Cry Diagnostic System Using Machine Learning Approach,"Researchers have found that crying is an acoustic symptom among unhealthy newborns. This study aims to develop a non-invasive newborn cry diagnostic system (NCDS) using information at different levels of the cry audio signal (CAS) of infants. The unhealthy newborn group in our experiment consists of 34 clinical cases. The proposed machine learning (ML) techniques include the extraction of feature sets of Mel frequency cepstral coefficients (MFCC), auditory-inspired amplitude modulation (AAM) features, and a prosody feature set of tilt, intensity, and rhythm features. The training models are probabilistic neural networks and support vector machine algorithms. The feature sets of AAM and MFCC extract low-level patterns, whereas the prosody feature set of tilt, intensity, and rhythm extracts high-level information in an infant CAS. The AAM feature set in the NCDS has never yet been examined. As an innovative aspect of this study, the AAM feature set is included in the NCDS, and this feature set is fused with the feature sets of MFCC and prosody. As another innovation, we reproduce real-world problems by including many pathologies in the unhealthy group. Among the evaluated frameworks proposed, the fusion of all feature sets improves the system performance. The best result is obtained with the fusion of AAM and MFCC with an F-measure of over 80%. The results of this experiment reveal the usefulness of information at different levels within the CASs of newborns, which vary among healthy and unhealthy groups. Moreover, to identify unhealthy newborns, this information can be captured noninvasively by applying ML methods to the NCDS.",Infant Health and Development Program (IHDP),Conference,10.1016/j.bspc.2021.103434,Yes
A17,Health,"Automated Prediction of Apnea and Hypopnea, Using a LAMSTAR Artificial Neural Network","The prediction of individual episodes of apnea and hypopnea in people with obstructive sleep apnea syndrome has not been thoroughly investigated. Accurate prediction of these events could improve clinical management of this prevalent disease. To evaluate the performance of a system developed to predict episodes of obstructive apnea and hypopnea in individuals with obstructive sleep apnea; to determine the most important signals for making accurate and reliable predictions. We employed LArge Memory STorage And Retrieval (LAMSTAR) artificial neural networks to predict apnea and hypopnea. Wavelet transform-based preprocessing was applied to six physiological signals obtained from a set of polysomnography studies and used to train and test the networks. We tested prediction performance during non-REM and REM sleep as a function of data segment duration and prediction lead time. Measurements included average sensitivities, specificities, positive predictive values, and negative predictive values. Prediction performed best during non-REM sleep, using 30-second segments to predict events up to 30 seconds into the future. Most events were correctly predicted up to 60 seconds in the future. Apnea prediction achieved a sensitivity and specificity up to 80.6 ± 5.6 and 72.8 ± 6.6%, respectively. Hypopnea prediction achieved a sensitivity and specificity up to 74.4 ± 5.9 and 68.8 ± 7.0%, respectively. We report, to our knowledge, the first system to predict individual episodes of apnea and hypopnea. The most important signal for apnea prediction was submental electromyography. The most important signals for hypopnea prediction were submental electromyography and heart rate variability. This prediction system may facilitate improved therapies for obstructive sleep apnea.",Apnea,Conference,10.1164/rccm.200907-1146OC,Yes
A18,Health,Classification of Chest Diseases from X-ray Images on the CheXpert Dataset,"This work proposes a method to classify tuberculosis (TB) disease in a chest radiograph using convolutional neural network (CNN) algorithms. The main contribution of this work is to detect and classify TB disease in addition to the other five different diseases. This is achieved by using a transfer learning technique that utilizes a pre-trained CNN network to classify the TB disease. A comprehensive verification using TensorFlow is carried out to train and validate the proposed technique. This work aimed to use different pre-trained models on the CheXpert dataset and compare the area under the curve (AUC) between the CNN models. From the simulations, it was found that it is possible to classify the TB disease in addition to the other five diseases without having a degradation in the accuracy. The results confirm that transfer learning technique is superior to other methods, which exhibits less time for training and validating the datasets, and has good performance. This work achieved excellent performance in classifying three different diseases (atelectasis, edema, and tuberculosis) with AUC of 0.912, 0.945, and 0.954, respectively. Also, this work achieved second-best performance for classifying pleural effusion and consolidation diseases with AUC of 0.928 and 0.917, respectively. The method proposed in this work can be used for classification of diseases in chest radiograph as an early diagnosis tool in a clinical environment.",CheXpert,Q1 journal,https://doi.org/10.1007/978-981-16-0749-3_64,Yes
A19,Finance,Credit Card Default Prediction using Machine Learning Techniques,"Credit risk plays a major role in the banking industry business. Banks' main activities involve granting loan, credit card, investment, mortgage, and others. Credit card has been one of the most booming financial services by banks over the past years. However, with the growing number of credit card users, banks have been facing an escalating credit card default rate. As such data analytics can provide solutions to tackle the current phenomenon and manage credit risks. This paper provides a performance evaluation of credit card default prediction. Thus, logistic regression, rpart decision tree, and random forest are used to test the variable in predicting credit default and random forest proved to have the higher accuracy and area under the curve. This result shows that random forest best describe which factors should be considered with an accuracy of 82% and an Area under Curve of 77% when assessing the credit risk of credit card customers.",credit card default,Conference,10.1109/ICACCAF.2018.8776802,Yes
A20,Social work,The Application of Machine Learning Methods in Drug Consumption Prediction,"Nowadays, drug abuse is a universal phenomenon. It can bring huge damage to the human body and cause irreversible results. It is important to know what can lead to abuse so that it can be prevented. In order to prevent the abuse of drugs, it is necessary to figure out what elements make people abuse drugs and how they relate to the abuse. According to the drug consumption data from the UCI database, Big Five personality traits (NEO-FFI-R), sensation seeking, impulsivity, and demographic information are considered to be relative elements of abuse. However, how they affect drug abuse is not clear, so they cannot predict the probability of a person abusing a drug. Traditional ways to analyze the data, based on scoring, only provide inaccurate predictive values. Machine learning is very popular nowadays because of its strong learning ability, high efficiency, and high accuracy. In this paper, we build models for accurate prediction of drug abuse with personality traits and other information, based on logistic regression, decision tree, and random forest separately. We find that the sensation of respondents and the country they are from are the most important factors for drug abuse. We conclude that drug abuse is not only dependent on a person’s inner being but also affected by the environment they live in.",Drug consumption,Q1 journal,https://doi.org/10.1007/978-981-15-4409-5_45,Yes
A21,Information systems,Bias in Online Freelance Marketplaces: Evidence from TaskRabbit and Fiverr,"Online freelancing marketplaces have grown quickly in recent years. In theory, these sites offer workers the ability to earn money without the obligations and potential social biases associated with traditional employment frameworks. In this paper, we study whether two prominent online freelance marketplaces—TaskRabbit and Fiverr—are impacted by racial and gender bias. From these two platforms, we collect 13,500 worker profiles and gather information about workers’ gender, race, customer reviews, ratings, and positions in search rankings. In both marketplaces, we find evidence of bias: we find that perceived gender and race are significantly correlated with worker evaluations, which could harm the employment opportunities afforded to the workers. We hope that our study fuels more research on the presence and implications of discrimination in online environments.",Online freelance marketplaces,Q2 journal,https://doi.org/10.1145/2998181.2998327,Yes
A22,Information systems,CrowdAdvisor: A Framework for Freelancer Assessment in Online Marketplace,"Hiring is one of the important challenges in the context of online labor marketplace. Unlike traditional hiring, where workers are hired either as a full time employee or as a contractor, hiring from online marketplaces are done for individual jobs of short duration. As these marketplaces are open for anyone, hiring becomes challenging due to the large number of freelancers applying for a posted job. Quite often, clients use ratings of the freelancers while hiring. However, we have observed that ratings are skewed towards higher values and do not provide valuable insights about freelancers' abilities to do a quality work. Therefore, we propose a multidimensional assessment framework which evaluates freelancers on several dimensions. The proposed framework, not only uses the current information about the freelancer, but also utilizes the past jobs he has performed. The framework is evaluated on the data collected from a popular online marketplace. Our analysis, performed on 7254 jobs and 96,271 applicants, shows that the assessment made by the proposed framework outperforms the baseline algorithm.",Online freelance marketplaces,Conference,10.1109/ICSE-SEIP.2017.23,Yes
A23,Information systems,Analyzing the Content Emphasis of Web Search Engines,"Millions of people search the Web each day. As a consequence, the ranking algorithms employed by Web search engines have a profound influence on which pages users visit. Characterizing this influence, and informing users when different engines favor certain sites or points of view, enables more transparent access to the Web's information. We present PAWS, a platform for analyzing differences among Web search engines. PAWS measures content emphasis: the degree to which differences across search engines' rankings correlate with features of the ranked content, including point of view (e.g., positive or negative orientation toward their company's products) and advertisements. We propose an approach for identifying the orientations in search results at scale, through a novel technique that minimizes the expected number of human judgments required. We apply PAWS to news search on Google and Bing, and find no evidence that the engines emphasize results that express positive orientation toward the engine company's products. We do find that the engines emphasize particular news sites, and that they also favor pages containing their company's advertisements, as opposed to competitor advertisements.",Bing US Queries,Conference,https://doi.org/10.1145/2600428.2609515,Yes
A24,Library and information sciences,ArnetMiner: Extraction and Mining of Academic Social Networks,"This paper addresses several key issues in the ArnetMiner system, which aims at extracting and mining academic social networks. Specifically, the system focuses on: 1) Extracting researcher profiles automatically from the Web; 2) Integrating the publication data into the network from existing digital libraries; 3) Modeling the entire academic network; and 4) Providing search services for the academic network. So far, 448,470 researcher profiles have been extracted using a unified tagging approach. We integrate publications from online Web databases and propose a probabilistic framework to deal with the name ambiguity problem. Furthermore, we propose a unified modeling approach to simultaneously model topical aspects of papers, authors, and publication venues. Search services such as expertise search and people association search have been provided based on the modeling results. In this paper, we describe the architecture and main features of the system. We also present the empirical evaluation of the proposed methods.",ArnetMiner Citation Network,Conference,doi.org/10.1145/1401890.1402008,Yes
A25,Information systems,Amazon.com Recommendations: Item-to-Item Collaborative Filtering,"Recommendation algorithms are best known for their use on e-commerce Web sites, where they use input about a customer's interests to generate a list of recommended items. Many applications use only the items that customers purchase and explicitly rate to represent their interests, but they can also use other attributes, including items viewed, demographic data, subject interests, and favorite artists. At Amazon.com, we use recommendation algorithms to personalize the online store for each customer. The store radically changes based on customer interests, showing programming titles to a software engineer and baby toys to a new mother. There are three common approaches to solving the recommendation problem: traditional collaborative filtering, cluster models, and search-based methods. Here, we compare these methods with our algorithm, which we call item-to-item collaborative filtering. Unlike traditional collaborative filtering, our algorithm's online computation scales independently of the number of customers and number of items in the product catalog. Our algorithm produces recommendations in real-time, scales to massive data sets, and generates high quality recommendations.",Symptoms in Queries,Q1 journal,10.1109/MIC.2003.1167344,Yes
A26,Information systems,Justifying Recommendations Using Distantly-Labeled Reviews and Fine-Grained Aspects,"Several recent works have considered the problem of generating reviews (or 'tips') as a form of explanation as to why a recommendation might match a customer’s interests. While promising, we demonstrate that existing approaches struggle (in terms of both quality and content) to generate justifications that are relevant to users' decision-making process. We seek to introduce new datasets and methods to address the recommendation justification task. In terms of data, we first propose an 'extractive' approach to identify review segments which justify users' intentions; this approach is then used to distantly label massive review corpora and construct large-scale personalized recommendation justification datasets. In terms of generation, we are able to design two personalized generation models with this data: (1) a reference-based Seq2Seq model with aspect-planning which can generate justifications covering different aspects, and (2) an aspect-conditional masked language model which can generate diverse justifications based on templates extracted from justification histories. We conduct experiments on two real-world datasets which show that our model is capable of generating convincing and diverse justifications.",Amazon Review,Conference,10.18653/v1/D19-1018,Yes
A27,Movies,Session-based Recommendations with Recurrent Neural Networks,"We apply recurrent neural networks (RNN) on a new domain, namely recommender systems. Real-life recommender systems often face the problem of having to base recommendations only on short session-based data (e.g. a small sportsware website) instead of long user histories (as in the case of Netflix). In this situation the frequently praised matrix factorization approaches are not accurate. This problem is usually overcome in practice by resorting to item-to-item recommendations, i.e. recommending similar items. We argue that by modeling the whole session, more accurate recommendations can be provided. We therefore propose an RNN-based approach for session-based recommendations. Our approach also considers practical aspects of the task and introduces several modifications to classic RNNs such as a ranking loss function that make it more viable for this specific problem. Experimental results on two data-sets show marked improvements over widely used approaches.",MovieLens,Conference,arXiv preprint arXiv:1511.06939,Yes
A28,Sociology,Romantic Partner Recommender Based on Speed Dating Experiment,"Most dating recommenders are based on online dating sites that make use of virtual user profiles portrayed by the users themselves. While speed dating collects real-life face-to-face dating interactions among people, the data is rarely applied in dating recommender in any form. This report explores the research gap and presents a novel dating recommender which combines speed dating study with dating recommender system. Speed dating data suggests that user profile portrayed by themselves may not accurately reflect their likeability as a potential romantic partner. We introduce an approach of extracting objective evaluation based on the objective ratings given by the dating partners in the speed dating events to construct an objective profile library. Due to the low match rate in speed dating, there is a high class imbalance on the match label in the speed dating dataset. The project applies SMOTE oversampling to mitigate the class imbalance issue. A random forest regression-based reciprocal recommender is presented. Experiment results confirm the effectiveness of the proposed approach. The combination of the objective profile library, SMOTE oversampling, and a random forest regression-based reciprocal recommender achieves a match prediction accuracy of 92.19%, outperforming existing benchmark algorithms.",Speed dating experiment,Conference,https://github.com/Sapphirine/romantic-partner-recommender-based-on-speed-dating-experiment,Yes
A29,Demography,A Machine Learning Approach to Census Record Linking,"Thanks to the availability of new historical census sources and advances in record-linking technology, economic historians are becoming big data genealogists. Linking individuals over time and between databases has opened up new avenues for research into intergenerational mobility, the long-run effects of early life conditions, assimilation, discrimination, and the returns to education. To take advantage of these new research opportunities, scholars need to be able to accurately and efficiently match historical records and produce an unbiased dataset of links for analysis. I detail a standard and transparent census matching technique for constructing linked samples that can be replicated across a variety of cases. The procedure applies insights from machine learning classification and text comparison to record linkage of historical data. My method teaches an algorithm to replicate how a well-trained and consistent researcher would create a linked sample across sources. I begin by extracting a subset of possible matches for each record, and then use training data to tune a matching algorithm that attempts to minimize both false positives and false negatives, taking into account the inherent noise in historical records. To make the procedure precise, I trace its application to an example from my own work, linking children from the 1915 Iowa State Census to their adult selves in the 1940 Federal Census. In addition, I provide guidance on a number of practical questions, including how large the training data needs to be relative to the sample.",US Census Record,Conference,https://api.semanticscholar.org/CorpusID:39601793,Yes
